SubmissionDate,start,note_welcome,intdate,m_eligible,consent_statement,m_consent,note_conditionCheck,who_present,context,private,wazungu,intro_peers,age_elder1,edu_elder1,age_elder2,edu_elder2,age_elder3,edu_elder3,intro_prompt,scale_use,practice_q1,practice_q2,note_practice,emp1,emp2,emp3,emp4,emp5,emp6,emp7,emp8,emp9,emp10,emp11,emp12,emp13,emp14,emp15,emp16,emp17,emp18,emp19,emp20,note_finish_emps,honest1,honest2,honest3,honest4,m_age,m_edu,m_work,m_workother,numwife,m_prevwife,m_numkids,debrief_statement,note5,m_comment,m_comment2,note6,instanceID,KEY,SubmitterID,SubmitterName,AttachmentsPresent,AttachmentsExpected,Status,ReviewState,DeviceID,Edits,FormVersion
2023-08-07T18:28:58.672Z,2023-08-07T11:13:43.523+03:00,,07/08/2023,1,,1,,2,1,1,0,,55,7,53,7,58,7,,,1,5,,2,4,4,2,1,2,4,5,2,4,4,4,5,3,2,4,2,1,3,4,,1,2,1,2,23,10,2,,0,0,1,,,No comments,Good interview,,uuid:f340c669-87a6-4154-a954-f7b92f2fe49e,uuid:f340c669-87a6-4154-a954-f7b92f2fe49e,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-07T18:28:56.862Z,2023-08-07T10:54:45.095+03:00,,07/08/2023,1,,1,,1,1,1,0,,58,7,55,7,53,7,,,1,5,,2,4,2,1,1,4,5,4,2,5,2,2,2,5,2,4,4,1,4,2,,1,2,1,1,20,11,2,,0,0,1,,,No comments,Nice interview,,uuid:53cf2124-650e-4688-9239-1c15a5707de5,uuid:53cf2124-650e-4688-9239-1c15a5707de5,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-07T18:28:55.840Z,2023-08-07T10:26:35.424+03:00,,07/08/2023,1,,1,,1,2,1,0,,53,7,58,7,55,7,,,1,5,,1,3,2,2,1,4,5,5,3,1,5,3,3,1,1,1,5,1,1,1,,1,2,1,2,20,13,0,,0,0,0,,,No comments,Good interview,,uuid:3ba8d769-6f84-42de-8b44-c82109cdfa64,uuid:3ba8d769-6f84-42de-8b44-c82109cdfa64,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-07T18:28:54.793Z,2023-08-07T09:53:31.068+03:00,,07/08/2023,1,,1,,1,2,1,0,,58,7,55,7,53,7,,,1,5,,2,5,4,1,2,3,4,4,3,3,5,3,3,1,2,4,2,2,4,5,,1,2,1,3,25,7,8,,1,0,1,,,No comments,Interview was good,,uuid:57f15cbb-32b5-4f76-9129-d311f1471c3d,uuid:57f15cbb-32b5-4f76-9129-d311f1471c3d,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-06T16:46:59.148Z,2023-08-04T13:37:35.796+03:00,,04/08/2023,1,OK,1,,2,2,1,0,,58,7,55,7,53,7,,,1,5,,2,3,3,4,2,3,3,3,3,3,3,4,4,5,2,4,2,4,2,2,,1,2,1,3,28,7,6 8 1 2,,1,1,1,,,No comments,Nice interview,,uuid:1f8a7eeb-65d2-4bcd-bf21-20e8955f4ead,uuid:1f8a7eeb-65d2-4bcd-bf21-20e8955f4ead,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-06T16:46:55.724Z,2023-08-04T12:58:14.720+03:00,,04/08/2023,1,OK,1,,1,2,1,0,,53,7,55,7,58,7,,,1,5,,1,4,2,4,1,1,4,4,1,1,4,2,2,2,2,1,4,4,2,1,,1,2,1,3,23,9,2,,0,1,1,,,No comments,Good interview,,uuid:0e443ea7-a48e-4187-80c9-62d315fa5d07,uuid:0e443ea7-a48e-4187-80c9-62d315fa5d07,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-06T16:46:54.644Z,2023-08-04T12:37:44.202+03:00,,04/08/2023,1,OK,1,,1,2,1,0,,53,7,55,7,58,7,,,1,5,,4,5,2,3,2,3,5,5,2,4,4,2,4,2,4,4,3,5,3,4,,1,2,1,2,30,11,5 1 2,,1,0,2,,,No comments,Nice interview,,uuid:cdeed229-f199-443c-be37-28dd5f4f823d,uuid:cdeed229-f199-443c-be37-28dd5f4f823d,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-06T16:46:53.605Z,2023-08-04T12:08:36.178+03:00,,04/08/2023,1,OK,1,,1,2,1,0,,53,7,55,7,58,7,,,1,5,,3,5,3,4,1,3,5,5,1,3,3,2,2,4,2,4,5,3,4,3,,1,2,1,3,21,15,10,,1,0,1,,,No comments but thank you for your questions ,Good interview,,uuid:19b685c0-6d50-4157-9f6a-89d00c5635ad,uuid:19b685c0-6d50-4157-9f6a-89d00c5635ad,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-06T16:46:52.157Z,2023-08-04T11:30:57.114+03:00,,04/08/2023,1,OK,1,,1,2,1,0,,58,7,55,7,53,7,,,1,5,,1,5,1,1,1,1,5,5,1,5,3,1,3,5,1,1,1,1,5,5,,1,2,2,1,24,8,8 1 11,,0,1,1,,,No comments,The interview went  well,,uuid:55e727ff-ce0a-4cca-bc75-ba9d40694cda,uuid:55e727ff-ce0a-4cca-bc75-ba9d40694cda,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
2023-08-06T16:46:48.852Z,2023-08-04T10:37:40.712+03:00,,04/08/2023,1,OK,1,,1,2,1,0,,53,7,55,7,58,7,,,1,5,,2,5,3,1,1,3,4,3,2,4,3,2,1,2,2,3,2,4,4,1,,1,2,2,3,24,9,8,,1,0,1,,,No comments,Good interview,,uuid:ef39178d-d2d0-41a2-b85a-37c3195745f7,uuid:ef39178d-d2d0-41a2-b85a-37c3195745f7,20,Tablet 6,2,2,,,collect:Lsu8zEYYRIP2bFTI,0,205[encrypted:AYmtIRGU]
