SubmissionDate,start,note_welcome,intdate,m_eligible,consent_statement,m_consent,note_conditionCheck,who_present,context,private,wazungu,intro_peers,age_cityman1,edu_cityman1,age_cityman2,edu_cityman2,age_cityman3,edu_cityman3,intro_prompt,scale_use,practice_q1,practice_q2,note_practice,emp1,emp2,emp3,emp4,emp5,emp6,emp7,emp8,emp9,emp10,emp11,emp12,emp13,emp14,emp15,emp16,emp17,emp18,emp19,emp20,note_finish_emps,honest1,honest2,honest3,honest4,m_age,m_edu,m_work,m_workother,numwife,m_prevwife,m_numkids,debrief_statement,note5,m_comment,m_comment2,note6,instanceID,KEY,SubmitterID,SubmitterName,AttachmentsPresent,AttachmentsExpected,Status,ReviewState,DeviceID,Edits,FormVersion
2023-08-22T13:10:51.758Z,2023-08-22T10:21:04.999+03:00,,22/08/2023,1,OK,1,,2,3,1,0,,40,15,38,15,37,15,,,1,5,,1,4,4,4,4,5,4,4,4,4,5,2,1,4,4,4,5,1,4,2,,1,2,2,3,19,11,10,,0,0,0,,,No comments , No comments ,,uuid:b6d0b0da-54dc-44ab-9cf5-74337669a6d3,uuid:b6d0b0da-54dc-44ab-9cf5-74337669a6d3,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-21T13:00:26.658Z,2023-08-21T13:13:40.887+03:00,,21/08/2023,1,OK,1,,2,3,1,0,,40,15,38,15,37,15,,,1,5,,4,4,4,4,2,5,5,3,2,5,2,4,5,4,2,1,1,1,5,4,,1,2,1,1,26,15,4 11,,0,0,1,,,No comments ,No  comments ,,uuid:2f12394e-e310-4200-820e-cd1667c7a3bf,uuid:2f12394e-e310-4200-820e-cd1667c7a3bf,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-21T13:00:24.137Z,2023-08-21T11:47:53.874+03:00,,21/08/2023,1,,1,,1,1,1,0,,37,15,24,15,40,15,,,1,5,,2,5,1,1,1,2,4,4,4,5,2,4,5,5,2,1,2,2,3,4,,1,2,1,1,21,13,5,,0,0,0,,,No comment ,NIL ,,uuid:9428a61b-2c82-4d01-af17-db3596d0874e,uuid:9428a61b-2c82-4d01-af17-db3596d0874e,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-21T13:00:22.244Z,2023-08-21T11:39:29.269+03:00,,21/08/2023,1,,1,,2,2,1,0,,40,15,24,15,37,15,,,1,5,,2,5,2,2,2,4,3,4,3,5,2,2,4,4,2,3,4,5,3,4,,1,2,1,3,24,15,0,,0,0,0,,,No comment ,NIL ,,uuid:0893aa53-970c-4ace-87eb-059793c7ff64,uuid:0893aa53-970c-4ace-87eb-059793c7ff64,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-21T13:00:20.106Z,2023-08-21T11:20:13.521+03:00,,21/08/2023,1,OK,1,,2,1,1,0,,24,15,37,15,38,15,,,1,5,,1,5,2,2,1,4,5,4,2,4,3,2,4,4,4,2,4,2,4,4,,1,2,2,1,30,11,7,,1,0,2,,,No,No,,uuid:326e0701-6d70-479f-bb08-a5f8b6bee594,uuid:326e0701-6d70-479f-bb08-a5f8b6bee594,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-21T13:00:18.250Z,2023-08-21T10:34:34.685+03:00,,21/08/2023,1,OK,1,,2,3,1,0,,38,15,40,15,24,15,,,1,5,,3,4,3,2,2,5,5,3,2,4,2,2,3,3,3,3,2,1,1,1,,1,2,1,2,22,11,2 1,,0,0,0,,,No comments ,Good cooperate ,,uuid:402d790b-f1bd-4eda-9e99-8a9938259fd2,uuid:402d790b-f1bd-4eda-9e99-8a9938259fd2,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-21T13:00:16.340Z,2023-08-21T10:21:15.844+03:00,,21/08/2023,1,OK,1,,2,1,1,0,,40,15,38,15,37,15,,,1,5,,4,5,1,1,1,5,5,5,2,4,1,1,5,5,1,1,5,1,2,5,,1,2,1,2,23,15,2,,0,0,0,,,No comments ,No comments ,,uuid:d5929206-0f6a-4b80-915c-d293de8d613f,uuid:d5929206-0f6a-4b80-915c-d293de8d613f,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-21T13:00:14.479Z,2023-08-21T09:59:16.560+03:00,,21/08/2023,1,,1,,2,3,1,0,,40,15,37,15,24,15,,,1,5,,1,5,2,1,2,1,5,5,4,4,2,4,5,5,1,2,5,2,3,5,,1,2,1,1,26,11,6 1,,1,0,1,,,No comment ,NIL ,,uuid:3433739b-6b4d-4f68-97a2-1496405ae042,uuid:3433739b-6b4d-4f68-97a2-1496405ae042,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-21T13:00:12.461Z,2023-08-21T09:50:32.331+03:00,,21/08/2023,1,OK,1,,2,1,1,0,,40,15,38,15,37,15,,,1,5,,2,4,5,2,2,2,4,3,2,4,5,2,5,4,2,2,2,4,4,4,,1,2,3,2,23,11,2,,0,0,0,,,No comments ,No comments ,,uuid:16321f19-f1d0-4816-ab1d-5716900cd6d9,uuid:16321f19-f1d0-4816-ab1d-5716900cd6d9,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-21T13:00:10.164Z,2023-08-21T09:38:53.508+03:00,,21/08/2023,1,OK,1,,2,1,1,0,,40,15,38,15,37,15,,,1,5,,1,4,2,2,2,2,4,3,2,4,5,1,5,4,3,2,2,4,5,5,,1,2,2,2,24,11,98,Bus agent,1,0,2,,,No comments ,No comments ,,uuid:ec524f37-e6ca-4e73-8250-cfba73970644,uuid:ec524f37-e6ca-4e73-8250-cfba73970644,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-18T16:06:56.264Z,2023-08-18T13:02:03.406+03:00,,18/08/2023,1,OK,1,,2,4,1,0,,40,15,38,15,37,15,,,1,5,,1,4,4,4,4,1,2,1,2,2,4,2,1,4,4,5,5,4,5,2,,1,2,3,1,19,11,2,,0,0,0,,,No comments ,No comments ,,uuid:f2fec945-06c1-4021-87fa-5610a3104ab4,uuid:f2fec945-06c1-4021-87fa-5610a3104ab4,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-18T16:06:54.302Z,2023-08-18T12:30:03.635+03:00,,18/08/2023,1,,1,,2,3,1,0,,37,15,24,15,40,15,,,1,5,,1,5,4,2,2,2,4,4,2,2,4,2,2,4,2,2,4,2,4,2,,1,2,2,1,25,11,2 1,,1,0,3,,,No comment ,NIL ,,uuid:03127a9c-ec3f-41e7-8dfa-c7e05373a446,uuid:03127a9c-ec3f-41e7-8dfa-c7e05373a446,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-18T16:06:52.434Z,2023-08-18T12:12:16.368+03:00,,18/08/2023,1,OK,1,,2,3,1,0,,40,15,38,15,34,15,,,1,5,,1,3,1,2,1,3,4,3,3,2,1,2,3,4,2,1,2,2,2,4,,1,2,3,3,27,13,2,,1,0,1,,,No comments ,No comments ,,uuid:6f97b9b1-2091-48ec-8fc2-2014fc521ec8,uuid:6f97b9b1-2091-48ec-8fc2-2014fc521ec8,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-18T16:06:50.371Z,2023-08-18T12:03:06.827+03:00,,18/08/2023,1,OK,1,,2,3,1,0,,40,15,38,15,37,15,,,1,5,,2,5,2,2,1,4,5,4,2,4,5,5,3,4,1,1,4,1,4,5,,1,2,1,1,20,15,10,,0,0,0,,,No comments ,No comments ,,uuid:7aaa26c3-529b-458f-9366-ed569667feb6,uuid:7aaa26c3-529b-458f-9366-ed569667feb6,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-18T16:06:47.806Z,2023-08-18T11:25:21.317+03:00,,18/08/2023,1,OK,1,,2,1,1,0,,40,15,38,15,37,15,,,1,5,,2,4,4,4,2,4,4,4,2,4,4,2,4,4,2,2,4,2,4,2,,1,2,1,2,27,13,4,,1,0,2,,,No comments ,No comments ,,uuid:97104d7f-562f-408a-b23b-f22281796f6f,uuid:97104d7f-562f-408a-b23b-f22281796f6f,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-18T16:06:45.223Z,2023-08-18T11:03:58.878+03:00,,18/08/2023,1,OK,1,,2,1,1,0,,40,15,38,15,37,15,,,1,5,,1,4,4,4,3,3,3,4,3,3,4,4,3,3,4,2,3,4,3,4,,1,3,3,3,29,11,4,,0,0,1,,,No comments ,No comments ,,uuid:f84f847e-8210-4d50-b40d-ddcc669baf01,uuid:f84f847e-8210-4d50-b40d-ddcc669baf01,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-18T16:06:42.652Z,2023-08-18T10:57:43.357+03:00,,18/08/2023,1,OK,1,,2,1,1,0,,40,15,38,15,37,15,,,1,5,,1,4,4,2,2,2,4,4,2,4,2,2,2,4,2,4,4,2,3,2,,1,2,1,1,19,11,2,,0,0,0,,,No comments ,No comments ,,uuid:d24d9a3b-e430-4ca1-9af4-cd1590d2e5c6,uuid:d24d9a3b-e430-4ca1-9af4-cd1590d2e5c6,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-18T16:06:39.222Z,2023-08-18T10:38:15.031+03:00,,18/08/2023,1,OK,1,,2,1,1,0,,40,15,38,15,37,15,,,1,5,,1,5,5,2,2,4,4,5,2,1,4,1,5,5,4,5,2,5,4,2,,1,2,2,1,29,11,4,,0,0,0,,,No comments ,No comments ,,uuid:6478f464-e47e-49b2-9f25-8e0655b5c874,uuid:6478f464-e47e-49b2-9f25-8e0655b5c874,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-18T16:06:36.782Z,2023-08-18T10:25:44.380+03:00,,18/08/2023,1,OK,1,,2,1,1,0,,36,15,37,15,24,15,,,1,5,,1,5,1,2,1,2,2,5,1,5,2,1,1,3,3,2,5,5,3,4,,1,2,1,1,25,11,7,,1,0,1,,,No,No,,uuid:cbef9431-0c6c-4cf1-92dd-3d426dd25e57,uuid:cbef9431-0c6c-4cf1-92dd-3d426dd25e57,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-18T16:06:34.295Z,2023-08-18T10:15:42.092+03:00,,18/08/2023,1,,1,,2,1,1,0,,40,15,24,15,37,15,,,1,5,,1,5,4,1,1,1,4,4,2,4,4,2,4,2,2,4,4,5,5,2,,1,2,2,1,27,10,7 6 1 11,,1,0,2,,,No comment ,NIL ,,uuid:080e99e1-ea56-4f78-970c-b8c55ac4089b,uuid:080e99e1-ea56-4f78-970c-b8c55ac4089b,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-18T16:06:32.287Z,2023-08-18T10:03:15.140+03:00,,18/08/2023,1,OK,1,,1,1,1,0,,24,15,38,15,40,15,,,1,5,,4,2,2,2,2,4,4,5,4,4,3,2,4,4,2,2,2,2,4,2,,1,2,1,1,24,11,8 2,,0,0,0,,,No comments ,Well cooperate ,,uuid:20defb88-a8e8-4b45-b123-d1a142ea77a6,uuid:20defb88-a8e8-4b45-b123-d1a142ea77a6,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-17T16:43:21.469Z,2023-08-17T12:45:41.928+03:00,,17/08/2023,1,,1,,2,3,1,0,,24,15,40,15,37,15,,,1,5,,1,5,5,2,4,2,3,5,2,4,3,2,2,2,2,4,5,4,4,2,,1,2,2,2,18,11,10,,0,0,0,,,No comment ,NIL ,,uuid:cd79f8d4-ce8a-4e80-a87a-e59607d2fbc2,uuid:cd79f8d4-ce8a-4e80-a87a-e59607d2fbc2,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-17T16:43:20.437Z,2023-08-17T12:34:49.485+03:00,,17/08/2023,1,OK,1,,2,1,1,1,,40,15,38,15,37,15,,,1,5,,2,3,2,1,1,3,4,4,2,4,3,3,4,5,2,2,2,1,3,4,,1,2,3,2,24,11,4,,0,0,0,,,No comments ,No comments ,,uuid:32efab34-f917-468f-b2b3-868afc33c067,uuid:32efab34-f917-468f-b2b3-868afc33c067,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
2023-08-17T16:43:19.035Z,2023-08-17T12:22:49.443+03:00,,17/08/2023,1,,1,,2,3,1,0,,37,15,40,15,24,15,,,1,5,,2,4,4,2,2,3,4,4,3,4,2,2,3,3,3,2,5,1,2,3,,1,2,2,2,30,11,1 4 11 7 9,,1,0,2,,,No comment ,NIL ,,uuid:6d0e7ba5-e3f7-4535-9046-4602067b87b4,uuid:6d0e7ba5-e3f7-4535-9046-4602067b87b4,19,Tablet 4,2,2,,,collect:iRjTQnCMf93cWfWU,0,205[encrypted:AYmtILkN]
